start new simulation
TRONROUT0000000356712212 capacity : 112.91981367507698
TRONROUT0000002002218773 capacity : 11.713676499986494
TRONROUT0000002223371154 capacity : 44.91060474962441
TRONROUT0000002223371281 capacity : 201.22681462406547
TRONROUT0000002223371300 capacity : 19.340039006679778
TRONROUT0000002244666589 capacity : 19.590421589415623
TRONROUT0000000073459982 capacity : 273.6998311564395
TRONROUT0000000073460036 capacity : 98.78653699353458
TRONROUT0000000073479919 capacity : 142.33872409632679
TRONROUT0000000073479920 capacity : 84.97852332422572
TRONROUT0000000073479929 capacity : 57.33915713805716
TRONROUT0000000073479934 capacity : 54.70016100017058
TRONROUT0000000073479948 capacity : 500.29229965405483
TRONROUT0000000073479950 capacity : 40.029834599635315
TRONROUT0000000206817716 capacity : 70.39616475104
TRONROUT0000000216874924 capacity : 388.57682007601056
TRONROUT0000002000252043 capacity : 182.30056732954827
TRONROUT0000002223373057 capacity : 52.78680473979756
TRONROUT0000002223373170 capacity : 48.90437920044831
TRONROUT0000002223373173 capacity : 39.71799639936464
TRONROUT0000002223373193 capacity : 82.15145624179198
TRONROUT0000002223373194 capacity : 38.647506902313715
TRONROUT0000002223373195 capacity : 29.238330083906106
TRONROUT0000002223819781 capacity : 35.65517272075517
TRONROUT0000000073467769 capacity : 34.11673064869275
TRONROUT0000000216920965 capacity : 5.466269454532492
TRONROUT0000000073462926 capacity : 65.09720672309257
TRONROUT0000000073479446 capacity : 38.98648366579062
TRONROUT0000000073482396 capacity : 281.3347278309383
TRONROUT0000000073482402 capacity : 40.984002361091996
TRONROUT0000000073482689 capacity : 403.7493387306957
TRONROUT0000000073482735 capacity : 15.13102823231022
TRONROUT0000000073479400 capacity : 51.04932060194893
TRONROUT0000000073479419 capacity : 230.3889711336929
TRONROUT0000000073482841 capacity : 27.11824781083448
TRONROUT0000000073483136 capacity : 447.1389926677378
TRONROUT0000000073483137 capacity : 1218.6750364333411
TRONROUT0000000073483144 capacity : 364.7540273222735
TRONROUT0000000073483173 capacity : 46.000095659977696
TRONROUT0000000073483207 capacity : 418.95525707043913
TRONROUT0000000073487682 capacity : 16.711623031201135
TRONROUT0000000073494267 capacity : 181.92044839196
TRONROUT0000000073494269 capacity : 93.54935199308032
TRONROUT0000000073494274 capacity : 1138.8455425120628
TRONROUT0000000073494419 capacity : 562.9486605885005
TRONROUT0000000073494421 capacity : 130.17264533509962
TRONROUT0000000073494537 capacity : 63.236950322674005
TRONROUT0000000073494422 capacity : 378.9569602418331
TRONROUT0000000073494424 capacity : 310.8641107542736
TRONROUT0000000073494471 capacity : 324.1199483999062
TRONROUT0000000073494708 capacity : 198.2992797008192
TRONROUT0000000073494723 capacity : 28.337390089441875
TRONROUT0000000073494730 capacity : 48.251267307420314
TRONROUT0000000073494731 capacity : 78.48260953855937
TRONROUT0000000073494733 capacity : 31.39427363599706
TRONROUT0000000073494737 capacity : 133.28645842766747
TRONROUT0000000073494752 capacity : 126.06213139665357
TRONROUT0000000073503443 capacity : 377.9686971582927
TRONROUT0000000073503468 capacity : 373.21206133436084
TRONROUT0000000073503473 capacity : 97.49637191498171
TRONROUT0000000073511041 capacity : 116.01091858181721
TRONROUT0000000073511070 capacity : 925.4845060532755
TRONROUT0000000073511072 capacity : 116.08061175158643
TRONROUT0000000073511073 capacity : 4.427188725340144
TRONROUT0000000073517073 capacity : 142.6874033411951
TRONROUT0000000073517217 capacity : 91.39777869762398
TRONROUT0000000073517074 capacity : 28.82804388844481
TRONROUT0000000073517268 capacity : 65.1363762479946
TRONROUT0000000083762950 capacity : 1244.440233772536
TRONROUT0000000101745661 capacity : 33.59452446634285
TRONROUT0000000101745662 capacity : 10.347946656745927
TRONROUT0000000223320969 capacity : 155.7740510288188
TRONROUT0000000230139558 capacity : 177.5276045453935
TRONROUT0000002007694150 capacity : 5.632051136515127
TRONROUT0000002009235030 capacity : 67.99065738933743
TRONROUT0000002205714654 capacity : 157.12531247075805
TRONROUT0000002223373492 capacity : 32.80283913998691
TRONROUT0000002223812620 capacity : 115.1415591133771
TRONROUT0000002223814914 capacity : 456.25397009517826
TRONROUT0000002223815734 capacity : 470.4919472288381
TRONROUT0000002223818608 capacity : 69.03148780952972
TRONROUT0000002244667954 capacity : 112.92731456487796
TRONROUT0000002244667988 capacity : 49.18903009730487
TRONROUT0000002244667989 capacity : 439.19468956681203
TRONROUT0000002244667994 capacity : 448.7706906886427
TRONROUT0000002244667996 capacity : 60.11406140252388
TRONROUT0000002244668003 capacity : 941.5018144610555
TRONROUT0000002244668006 capacity : 751.5943764502518
TRONROUT0000002244668015 capacity : 229.10954291630196
TRONROUT0000002244668016 capacity : 828.0910938071188
TRONROUT0000002244668017 capacity : 166.1943033626122
TRONROUT0000002244668020 capacity : 133.7480350761609
TRONROUT0000002244668066 capacity : 383.1601806646787
TRONROUT0000000073480858 capacity : 42.3971697166062
TRONROUT0000002223813223 capacity : 142.93755238055212
TRONROUT0000002245138520 capacity : 195.20783822893628
TRONROUT0000002244667985 capacity : 616.480034889788
TRONROUT0000002223818754 capacity : 552.6656108138503
TRONROUT0000000073511066 capacity : 1134.95471304914
TRONROUT0000002244668001 capacity : 1014.4789148798711
TRONROUT0000002244668005 capacity : 1008.4371911769975
TRONROUT0000002223815720 capacity : 340.7648866917043
TRONROUT0000002244668019 capacity : 130.91694114315914
TRONROUT0000000073487615 capacity : 1214.8682033175737
TRONROUT0000000073463660 capacity : 853.4923272005428
TRONROUT0000000073467658 capacity : 97.12133029081694
TRONROUT0000002245327697 capacity : 21.76868391749485
TRONROUT0000000289567484 capacity : 8.524279902964576
TRONROUT0000000289567488 capacity : 4.0
TRONROUT0000000289567489 capacity : 10.3863035048103
TRONROUT0000000289567490 capacity : 13.018853773430404
TRONROUT0000000289567495 capacity : 4.0
TRONROUT0000000073479963 capacity : 571.1989675335373
TRONROUT0000000073485348 capacity : 314.34419663052586
TRONROUT0000000073487782 capacity : 35.88537306446334
TRONROUT0000000073479967 capacity : 209.89519582614295
TRONROUT0000000073523620 capacity : 45.27332378295968
TRONROUT0000000073481459 capacity : 89.99429099575653
TRONROUT0000000073479757 capacity : 339.80178613948124
TRONROUT0000000073487783 capacity : 17.09133861740957
TRONROUT0000000073464963 capacity : 212.23110047066098
TRONROUT0000000073523546 capacity : 610.8260419686289
TRONROUT0000000073479758 capacity : 311.88057898024965
TRONROUT0000000073480393 capacity : 20.690378077884688
TRONROUT0000000073540263 capacity : 88.09540283088619
TRONROUT0000000073481474 capacity : 20.938003725372802
TRONROUT0000000073479989 capacity : 61.40097815046521
TRONROUT0000000073514337 capacity : 322.7081992097614
TRONROUT0000000073487453 capacity : 1032.2257755657065
TRONROUT0000000073487473 capacity : 1127.1710779504874
TRONROUT0000000073487474 capacity : 815.5885327483202
TRONROUT0000000073487774 capacity : 627.2003962104122
TRONROUT0000000073487771 capacity : 335.28575231989436
TRONROUT0000002208319659 capacity : 428.23488910226763
TRONROUT0000000073481472 capacity : 335.529657200464
TRONROUT0000000073480398 capacity : 1535.3356238060267
TRONROUT0000000073487197 capacity : 228.54974712496528
TRONROUT0000002223811332 capacity : 373.8796273534024
TRONROUT0000002223818524 capacity : 502.60169029899293
TRONROUT0000002244667940 capacity : 2297.992204506517
TRONROUT0000000073540697 capacity : 669.2337282356049
