TopoID,entryDate,distance,duration,meanSpead,lateness
'TRONROUT0000000073514334','2023-10-12 07:00:04',314424,14292.0,79.0,0.0
'TRONROUT0000000073514335','2023-10-12 06:58:27',770818,35852.0,78.0,0.0
'TRONROUT0000000073514336','2023-10-12 06:59:53',2592698,79442.0,118.0,0.0
'TRONROUT0000000073514375','2023-10-12 06:57:19',836550,28600.0,106.0,0.0
'TRONROUT0000000073514509','2023-10-12 06:57:58',197593,17963.0,39.0,0.0
'TRONROUT0000000073514510','2023-10-12 06:57:59',358580,17929.0,73.0,0.0
'TRONROUT0000000073514593','2023-10-12 06:57:18',142780,7139.0,72.0,0.0
'TRONROUT0000000073514594','2023-10-12 06:57:11',1571900,50116.0,112.83526941917425,0.014135759272218334
'TRONROUT0000000073514595','2023-10-12 07:00:22',14773080,433440.0,123.0,0.0
'TRONROUT0000000073514596','2023-10-12 07:00:06',2613963,79211.0,119.0,0.0
'TRONROUT0000000073514622','2023-10-12 06:57:57',340784,24853.0,61.05346788581623,0.38564897413024085
'TRONROUT0000000073514994','2023-10-12 06:59:25',5156436,149772.0,124.0,0.0
'TRONROUT0000000073514996','2023-10-12 06:59:36',5414913,160839.0,121.0,0.0
'TRONROUT0000000073515067','2023-10-12 06:59:45',6384572,196962.0,116.65358304362454,0.04418526410227655
'TRONROUT0000000073515069','2023-10-12 06:59:36',503106,21258.0,86.0,0.0
'TRONROUT0000000073515075','2023-10-12 06:59:00',991209,28524.0,125.0,0.0
'TRONROUT0000000073515076','2023-10-12 06:59:31',297696,14176.0,75.0,0.0
'TRONROUT0000000073515081','2023-10-12 06:59:33',1126314,53634.0,75.0,0.0
'TRONROUT0000000073515082','2023-10-12 06:59:57',15098130,447750.0,121.0,0.0
'TRONROUT0000000073515084','2023-10-12 06:59:04',176525,7061.0,90.0,0.0
'TRONROUT0000000073515119','2023-10-12 06:58:00',3494910,126109.0,99.99755759089648,0.00022203719122953095
'TRONROUT0000000073515120','2023-10-12 06:59:33',531825,21273.0,90.0,0.0
'TRONROUT0000000073515122','2023-10-12 06:59:56',445775,17831.0,88.0,0.0
'TRONROUT0000000073515126','2023-10-12 06:58:00',1602450,64098.0,90.0,0.0
'TRONROUT0000000073515127','2023-10-12 06:59:30',1340250,53618.0,89.99160604364857,0.0004476776720761052
'TRONROUT0000000073515128','2023-10-12 06:59:27',1270119,53667.0,86.0,0.0
'TRONROUT0000000073515568','2023-10-12 06:58:00',1068768,44532.0,86.0,0.0
'TRONROUT0000000073515569','2023-10-12 06:58:09',3482419,126769.0,99.0,0.0
'TRONROUT0000000073515620','2023-10-12 06:59:01',9222862,346313.0,96.0,0.0
'TRONROUT0000000073515665','2023-10-12 06:58:35',13132080,474214.0,100.0,0.0
'TRONROUT0000000073515666','2023-10-12 06:57:00',5055328,183552.0,99.0,0.0
'TRONROUT0000000073515669','2023-10-12 06:58:07',3444889,234511.0,80.63878458783432,5.546935474553752
